"","at","value","timestamp"
"123","2013-06-23T04:05:12.833626Z",130767,2013-06-23 04:05:12
"126","2013-06-23T04:11:12.858113Z",130767,2013-06-23 04:11:12
"127","2013-06-23T04:13:12.865068Z",130767,2013-06-23 04:13:12
"128","2013-06-23T04:15:12.872034Z",130767,2013-06-23 04:15:12
"129","2013-06-23T04:17:12.878750Z",130767,2013-06-23 04:17:12
"130","2013-06-23T04:19:12.887530Z",130767,2013-06-23 04:19:12
"131","2013-06-23T04:21:12.893838Z",130767,2013-06-23 04:21:12
"133","2013-06-23T04:25:12.909754Z",130767,2013-06-23 04:25:12
"134","2013-06-23T04:27:12.916105Z",130767,2013-06-23 04:27:12
"135","2013-06-23T04:29:12.923424Z",130767,2013-06-23 04:29:12
"140","2013-06-23T04:39:12.961559Z",130767,2013-06-23 04:39:12
"141","2013-06-23T04:41:12.967949Z",65351,2013-06-23 04:41:12
"142","2013-06-23T04:43:12.974974Z",1367,2013-06-23 04:43:12
"143","2013-06-23T04:45:12.986766Z",130767,2013-06-23 04:45:12
"147","2013-06-23T04:53:13.015882Z",130767,2013-06-23 04:53:13
"153","2013-06-23T05:05:13.063747Z",65351,2013-06-23 05:05:13
"154","2013-06-23T05:07:13.071629Z",130767,2013-06-23 05:07:13
"156","2013-06-23T05:11:13.084477Z",130767,2013-06-23 05:11:13
"157","2013-06-23T05:13:13.092788Z",1367,2013-06-23 05:13:13
"163","2013-06-23T05:25:13.137591Z",130767,2013-06-23 05:25:13
"167","2013-06-23T05:33:13.168498Z",130767,2013-06-23 05:33:13
"168","2013-06-23T05:35:13.175170Z",130767,2013-06-23 05:35:13
"169","2013-06-23T05:37:13.182298Z",130767,2013-06-23 05:37:13
"172","2013-06-23T05:43:13.209124Z",130767,2013-06-23 05:43:13
"173","2013-06-23T05:45:13.212779Z",581,2013-06-23 05:45:13
"174","2013-06-23T05:47:13.220043Z",130767,2013-06-23 05:47:13
"175","2013-06-23T05:49:13.228493Z",130767,2013-06-23 05:49:13
"176","2013-06-23T05:51:13.234466Z",43545,2013-06-23 05:51:13
"177","2013-06-23T05:53:13.242454Z",130767,2013-06-23 05:53:13
"178","2013-06-23T05:55:13.253008Z",130767,2013-06-23 05:55:13
"179","2013-06-23T05:57:13.256945Z",1367,2013-06-23 05:57:13
"180","2013-06-23T05:59:13.268048Z",65351,2013-06-23 05:59:13
"181"," 2013-06-23T06:01:13.273365Z",130767,2013-06-23 06:01:13
"182","2013-06-23T06:03:13.278497Z",130767,2013-06-23 06:03:13
"183","2013-06-23T06:05:13.286699Z",130767,2013-06-23 06:05:13
"184","2013-06-23T06:07:13.297408Z",130767,2013-06-23 06:07:13
"185","2013-06-23T06:09:13.304404Z",130767,2013-06-23 06:09:13
"186","2013-06-23T06:11:13.311220Z",130767,2013-06-23 06:11:13
"187","2013-06-23T06:13:13.317835Z",130767,2013-06-23 06:13:13
"188","2013-06-23T06:15:13.324490Z",130767,2013-06-23 06:15:13
"189","2013-06-23T06:17:13.333639Z",130767,2013-06-23 06:17:13
"190","2013-06-23T06:19:13.337823Z",130767,2013-06-23 06:19:13
"193","2013-06-23T06:25:13.363939Z",65351,2013-06-23 06:25:13
"195","2013-06-23T06:29:13.375275Z",1367,2013-06-23 06:29:13
"196","2013-06-23T06:31:13.387191Z",130767,2013-06-23 06:31:13
"197","2013-06-23T06:33:13.392969Z",130767,2013-06-23 06:33:13
"200","2013-06-23T06:39:13.415217Z",130767,2013-06-23 06:39:13
"202","2013-06-23T06:43:13.428561Z",130767,2013-06-23 06:43:13
"204","2013-06-23T06:47:13.441630Z",130767,2013-06-23 06:47:13
"205","2013-06-23T06:49:13.449358Z",130767,2013-06-23 06:49:13
"210","2013-06-23T06:59:13.487155Z",130767,2013-06-23 06:59:13
"221","2013-06-23T07:21:13.566695Z",130767,2013-06-23 07:21:13
"223","2013-06-23T07:25:13.581710Z",130767,2013-06-23 07:25:13
"224","2013-06-23T07:27:13.589139Z",65351,2013-06-23 07:27:13
