"","at","value","timestamp"
"898","2013-06-24T06:08:37.706731Z",43545,2013-06-24 06:08:37
"915","2013-06-24T06:42:37.847450Z",65351,2013-06-24 06:42:37
"997","2013-06-24T09:26:38.505336Z",130767,2013-06-24 09:26:38
"998","2013-06-24T09:28:38.511249Z",130767,2013-06-24 09:28:38
"999","2013-06-24T09:30:38.524289Z",130767,2013-06-24 09:30:38
"1000","2013-06-24T09:32:38.532333Z",130767,2013-06-24 09:32:38
"1007","2013-06-24T09:46:38.590584Z",11829,2013-06-24 09:46:38
"1008","2013-06-24T09:48:38.626078Z",21740,2013-06-24 09:48:38
"1009","2013-06-24T09:50:38.606578Z",32643,2013-06-24 09:50:38
"1010","2013-06-24T09:52:38.612826Z",777,2013-06-24 09:52:38
"1075","2013-06-24T12:06:39.168657Z",43545,2013-06-24 12:06:39
"1099","2013-06-24T12:54:39.353043Z",130767,2013-06-24 12:54:39
"1112","2013-06-24T13:20:40.130197Z",130767,2013-06-24 13:20:40
"1113","2013-06-24T13:22:39.470421Z",130767,2013-06-24 13:22:39
"1342","2013-06-24T21:14:41.438113Z",130767,2013-06-24 21:14:41
"1343","2013-06-24T21:16:41.430389Z",1367,2013-06-24 21:16:41
"1391","2013-06-24T22:56:41.860291Z",130767,2013-06-24 22:56:41
"1392","2013-06-24T23:00:41.843222Z",1367,2013-06-24 23:00:41
"1393","2013-06-24T23:02:41.853830Z",130767,2013-06-24 23:02:41
"1394","2013-06-24T23:04:41.910789Z",130767,2013-06-24 23:04:41
"1395","2013-06-24T23:06:41.871569Z",130767,2013-06-24 23:06:41
"1396","2013-06-24T23:08:41.879565Z",130767,2013-06-24 23:08:41
"1397","2013-06-24T23:10:41.889981Z",130767,2013-06-24 23:10:41
"1398","2013-06-24T23:12:41.898962Z",130767,2013-06-24 23:12:41
"1399","2013-06-24T23:14:41.930481Z",130767,2013-06-24 23:14:41
"1400","2013-06-24T23:16:41.981662Z",130767,2013-06-24 23:16:41
"1402","2013-06-24T23:20:41.931758Z",130767,2013-06-24 23:20:41
"1403","2013-06-24T23:22:41.939041Z",130767,2013-06-24 23:22:41
"1404","2013-06-24T23:24:41.943243Z",130767,2013-06-24 23:24:41
"1405","2013-06-24T23:26:41.959171Z",130767,2013-06-24 23:26:41
"1408","2013-06-24T23:32:41.974702Z",130767,2013-06-24 23:32:41
"1410","2013-06-24T23:36:41.991453Z",130767,2013-06-24 23:36:41
"1411","2013-06-24T23:38:41.997908Z",130767,2013-06-24 23:38:41
"1412","2013-06-24T23:40:42.006760Z",130767,2013-06-24 23:40:42
"1413","2013-06-24T23:42:42.014264Z",65351,2013-06-24 23:42:42
"1414","2013-06-24T23:44:42.027107Z",581,2013-06-24 23:44:42
"1415","2013-06-24T23:46:42.031659Z",21740,2013-06-24 23:46:42
"1416","2013-06-24T23:48:42.038151Z",18625,2013-06-24 23:48:42
"1417","2013-06-24T23:50:42.044950Z",16289,2013-06-24 23:50:42
"1418","2013-06-24T23:52:42.052045Z",18625,2013-06-24 23:52:42
"1419","2013-06-24T23:54:42.064792Z",18625,2013-06-24 23:54:42
"1420","2013-06-24T23:56:42.073339Z",14472,2013-06-24 23:56:42
"1421","2013-06-24T23:58:43.030756Z",16289,2013-06-24 23:58:43
"1422"," 2013-06-25T00:00:42.083328Z",21740,2013-06-25 00:00:42
"1423","2013-06-25T00:02:42.090411Z",21740,2013-06-25 00:02:42
"1424","2013-06-25T00:04:42.097774Z",16289,2013-06-25 00:04:42
"1425","2013-06-25T00:06:42.104193Z",13018,2013-06-25 00:06:42
"1426","2013-06-25T00:08:42.116900Z",9999,2013-06-25 00:08:42
"1427","2013-06-25T00:10:42.126016Z",9280,2013-06-25 00:10:42
"1428","2013-06-25T00:12:42.131131Z",9999,2013-06-25 00:12:42
"1429","2013-06-25T00:14:42.125548Z",289,2013-06-25 00:14:42
"1430","2013-06-25T00:16:42.147049Z",11829,2013-06-25 00:16:42
