"","at","value","timestamp"
"1"," 2013-06-17T00:00:12.059000Z",1157,2013-06-17 00:00:12
"2","2013-06-17T00:02:12.068758Z",1113,2013-06-17 00:02:12
"3","2013-06-17T00:04:12.090807Z",1157,2013-06-17 00:04:12
"4","2013-06-17T00:06:12.089481Z",1016,2013-06-17 00:06:12
"5","2013-06-17T00:08:12.093226Z",941,2013-06-17 00:08:12
"6","2013-06-17T00:10:12.102155Z",819,2013-06-17 00:10:12
"7","2013-06-17T00:12:12.119926Z",813,2013-06-17 00:12:12
"8","2013-06-17T00:14:12.122813Z",825,2013-06-17 00:14:12
"9","2013-06-17T00:16:12.131830Z",687,2013-06-17 00:16:12
"10","2013-06-17T00:18:12.141477Z",763,2013-06-17 00:18:12
"11","2013-06-17T00:20:12.156654Z",779,2013-06-17 00:20:12
"12","2013-06-17T00:22:12.162812Z",850,2013-06-17 00:22:12
"13","2013-06-17T00:24:12.177520Z",918,2013-06-17 00:24:12
"14","2013-06-17T00:26:12.177465Z",957,2013-06-17 00:26:12
"15","2013-06-17T00:28:12.198451Z",911,2013-06-17 00:28:12
"16","2013-06-17T00:30:12.195823Z",957,2013-06-17 00:30:12
"17","2013-06-17T00:32:12.208106Z",1043,2013-06-17 00:32:12
"18","2013-06-17T00:34:12.219955Z",904,2013-06-17 00:34:12
"19","2013-06-17T00:36:12.230807Z",1063,2013-06-17 00:36:12
"20","2013-06-17T00:38:12.244239Z",949,2013-06-17 00:38:12
"21","2013-06-17T00:40:12.257241Z",1093,2013-06-17 00:40:12
"22","2013-06-17T00:42:12.269712Z",1093,2013-06-17 00:42:12
"23","2013-06-17T00:44:12.281586Z",1181,2013-06-17 00:44:12
"24","2013-06-17T00:46:12.285837Z",1727,2013-06-17 00:46:12
"25","2013-06-17T00:48:13.509436Z",1570,2013-06-17 00:48:13
"26","2013-06-17T00:50:12.306264Z",1169,2013-06-17 00:50:12
"27","2013-06-17T00:52:12.313974Z",1193,2013-06-17 00:52:12
"28","2013-06-17T00:54:12.324591Z",1063,2013-06-17 00:54:12
"29","2013-06-17T00:56:12.332589Z",998,2013-06-17 00:56:12
"30","2013-06-17T00:58:12.337255Z",1357,2013-06-17 00:58:12
"31","2013-06-17T01:00:12.348242Z",1217,2013-06-17 01:00:12
"32","2013-06-17T01:02:12.361056Z",1113,2013-06-17 01:02:12
"33","2013-06-17T01:04:12.367986Z",1082,2013-06-17 01:04:12
"34","2013-06-17T01:06:12.376816Z",1007,2013-06-17 01:06:12
"35","2013-06-17T01:08:12.387089Z",2313,2013-06-17 01:08:12
"36","2013-06-17T01:10:12.581991Z",3378,2013-06-17 01:10:12
"37","2013-06-17T01:12:12.406636Z",4155,2013-06-17 01:12:12
"38","2013-06-17T01:14:12.416722Z",2080,2013-06-17 01:14:12
"39","2013-06-17T01:16:12.427929Z",3050,2013-06-17 01:16:12
"40","2013-06-17T01:18:12.439796Z",1917,2013-06-17 01:18:12
"41","2013-06-17T01:20:12.446231Z",2115,2013-06-17 01:20:12
"42","2013-06-17T01:22:12.450841Z",3471,2013-06-17 01:22:12
"43","2013-06-17T01:24:12.443881Z",85,2013-06-17 01:24:12
"44","2013-06-17T01:26:12.469962Z",2190,2013-06-17 01:26:12
"45","2013-06-17T01:28:12.487967Z",3471,2013-06-17 01:28:12
"46","2013-06-17T01:30:12.490082Z",2115,2013-06-17 01:30:12
